ID,Comentario,Tipo
55,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
56,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
57,Tuve un problema con mi compra y nadie me ayudó.,Queja
58,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
59,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
60,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
61,No responden los correos de atención al cliente.,Queja
62,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
63,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
64,La página web es muy lenta y difícil de usar.,Queja
65,El producto llegó defectuoso y tardaron en dar solución.,Queja
66,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
67,Tuve un problema con mi compra y nadie me ayudó.,Queja
68,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
69,La página web es muy lenta y difícil de usar.,Queja
70,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
71,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
72,La página web es muy lenta y difícil de usar.,Queja
73,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
74,La página web es muy lenta y difícil de usar.,Queja
75,La página web es muy lenta y difícil de usar.,Queja
76,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
77,Sería genial si agregaran más opciones de pago.,Sugerencia
78,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
79,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
80,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
81,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
82,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
83,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
84,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
85,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
86,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
87,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
88,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
89,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
90,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
91,No me gusta que el personal no esté bien capacitado.,Queja
92,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
93,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
94,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
95,Sería genial si agregaran más opciones de pago.,Sugerencia
96,No responden los correos de atención al cliente.,Queja
97,No me gusta que el personal no esté bien capacitado.,Queja
98,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
99,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
100,No responden los correos de atención al cliente.,Queja
101,La página web es muy lenta y difícil de usar.,Queja
102,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
103,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
104,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
105,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
106,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
107,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
108,Tuve un problema con mi compra y nadie me ayudó.,Queja
109,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
110,El producto llegó defectuoso y tardaron en dar solución.,Queja
111,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
112,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
113,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
114,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
115,La página web es muy lenta y difícil de usar.,Queja
116,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
117,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
118,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
119,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
120,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
121,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
122,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
123,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
124,La página web es muy lenta y difícil de usar.,Queja
125,No me gusta que el personal no esté bien capacitado.,Queja
126,La página web es muy lenta y difícil de usar.,Queja
127,No responden los correos de atención al cliente.,Queja
128,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
129,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
130,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
131,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
132,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
133,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
134,No me gusta que el personal no esté bien capacitado.,Queja
135,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
136,No me gusta que el personal no esté bien capacitado.,Queja
137,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
138,Tuve un problema con mi compra y nadie me ayudó.,Queja
139,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
140,Tuve un problema con mi compra y nadie me ayudó.,Queja
141,La página web es muy lenta y difícil de usar.,Queja
142,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
143,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
144,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
145,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
146,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
147,El producto llegó defectuoso y tardaron en dar solución.,Queja
148,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
149,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
150,Tuve un problema con mi compra y nadie me ayudó.,Queja
151,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
152,Sería genial si agregaran más opciones de pago.,Sugerencia
153,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
154,Tuve un problema con mi compra y nadie me ayudó.,Queja
155,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
156,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
157,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
158,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
159,No responden los correos de atención al cliente.,Queja
160,Sería genial si agregaran más opciones de pago.,Sugerencia
161,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
162,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
163,No responden los correos de atención al cliente.,Queja
164,Tuve un problema con mi compra y nadie me ayudó.,Queja
165,El producto llegó defectuoso y tardaron en dar solución.,Queja
166,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
167,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
168,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
169,No responden los correos de atención al cliente.,Queja
170,La página web es muy lenta y difícil de usar.,Queja
171,El producto llegó defectuoso y tardaron en dar solución.,Queja
172,Sería genial si agregaran más opciones de pago.,Sugerencia
173,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
174,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
175,La página web es muy lenta y difícil de usar.,Queja
176,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
177,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
178,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
179,No me gusta que el personal no esté bien capacitado.,Queja
180,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
181,El producto llegó defectuoso y tardaron en dar solución.,Queja
182,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
183,No me gusta que el personal no esté bien capacitado.,Queja
184,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
185,La página web es muy lenta y difícil de usar.,Queja
186,Sería genial si agregaran más opciones de pago.,Sugerencia
187,El producto llegó defectuoso y tardaron en dar solución.,Queja
188,Tuve un problema con mi compra y nadie me ayudó.,Queja
189,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
190,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
191,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
192,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
193,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
194,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
195,El servicio al cliente fue muy lento y poco amable.,Queja
196,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
197,El servicio al cliente fue muy lento y poco amable.,Queja
198,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
199,Tuve un problema con mi compra y nadie me ayudó.,Queja
200,La página web es muy lenta y difícil de usar.,Queja
201,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
202,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
203,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
204,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
205,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
206,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
207,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
208,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
209,No responden los correos de atención al cliente.,Queja
210,La página web es muy lenta y difícil de usar.,Queja
211,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
212,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
213,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
214,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
215,La página web es muy lenta y difícil de usar.,Queja
216,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
217,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
218,Sería genial si agregaran más opciones de pago.,Sugerencia
219,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
220,Tuve un problema con mi compra y nadie me ayudó.,Queja
221,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
222,La página web es muy lenta y difícil de usar.,Queja
223,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
224,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
225,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
226,Sería genial si agregaran más opciones de pago.,Sugerencia
227,Sería genial si agregaran más opciones de pago.,Sugerencia
228,El producto llegó defectuoso y tardaron en dar solución.,Queja
229,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
230,El servicio al cliente fue muy lento y poco amable.,Queja
231,Sería genial si agregaran más opciones de pago.,Sugerencia
232,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
233,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
234,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
235,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
236,No me gusta que el personal no esté bien capacitado.,Queja
237,No responden los correos de atención al cliente.,Queja
238,No responden los correos de atención al cliente.,Queja
239,No me gusta que el personal no esté bien capacitado.,Queja
240,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
241,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
242,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
243,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
244,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
245,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
246,Sería genial si agregaran más opciones de pago.,Sugerencia
247,El servicio al cliente fue muy lento y poco amable.,Queja
248,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
249,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
250,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
251,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
252,No me gusta que el personal no esté bien capacitado.,Queja
253,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
254,La página web es muy lenta y difícil de usar.,Queja
255,El producto llegó defectuoso y tardaron en dar solución.,Queja
256,Tuve un problema con mi compra y nadie me ayudó.,Queja
257,No me gusta que el personal no esté bien capacitado.,Queja
258,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
259,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
260,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
261,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
262,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
263,No me gusta que el personal no esté bien capacitado.,Queja
264,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
265,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
266,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
267,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
268,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
269,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
270,La página web es muy lenta y difícil de usar.,Queja
271,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
272,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
273,El producto llegó defectuoso y tardaron en dar solución.,Queja
274,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
275,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
276,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
277,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
278,No me gusta que el personal no esté bien capacitado.,Queja
279,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
280,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
281,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
282,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
283,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
284,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
285,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
286,El servicio al cliente fue muy lento y poco amable.,Queja
287,No me gusta que el personal no esté bien capacitado.,Queja
288,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
289,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
290,El servicio al cliente fue muy lento y poco amable.,Queja
291,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
292,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
293,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
294,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
295,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
296,Tuve un problema con mi compra y nadie me ayudó.,Queja
297,El producto llegó defectuoso y tardaron en dar solución.,Queja
298,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
299,No me gusta que el personal no esté bien capacitado.,Queja
300,Tuve un problema con mi compra y nadie me ayudó.,Queja
301,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
302,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
303,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
304,No me gusta que el personal no esté bien capacitado.,Queja
305,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
306,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
307,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
308,La página web es muy lenta y difícil de usar.,Queja
309,El producto llegó defectuoso y tardaron en dar solución.,Queja
310,No responden los correos de atención al cliente.,Queja
311,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
312,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
313,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
314,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
315,Tuve un problema con mi compra y nadie me ayudó.,Queja
316,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
317,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
318,El producto llegó defectuoso y tardaron en dar solución.,Queja
319,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
320,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
321,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
322,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
323,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
324,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
325,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
326,No responden los correos de atención al cliente.,Queja
327,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
328,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
329,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
330,No responden los correos de atención al cliente.,Queja
331,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
332,Sería genial si agregaran más opciones de pago.,Sugerencia
333,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
334,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
335,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
336,La página web es muy lenta y difícil de usar.,Queja
337,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
338,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
339,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
340,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
341,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
342,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
343,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
344,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
345,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
346,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
347,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
348,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
349,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
350,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
351,El producto llegó defectuoso y tardaron en dar solución.,Queja
352,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
353,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
354,Tuve un problema con mi compra y nadie me ayudó.,Queja
355,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
356,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
357,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
358,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
359,No responden los correos de atención al cliente.,Queja
360,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
361,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
362,Tuve un problema con mi compra y nadie me ayudó.,Queja
363,No responden los correos de atención al cliente.,Queja
364,Sería genial si agregaran más opciones de pago.,Sugerencia
365,Sería genial si agregaran más opciones de pago.,Sugerencia
366,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
367,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
368,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
369,No responden los correos de atención al cliente.,Queja
370,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
371,Tuve un problema con mi compra y nadie me ayudó.,Queja
372,No responden los correos de atención al cliente.,Queja
373,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
374,No responden los correos de atención al cliente.,Queja
375,El servicio al cliente fue muy lento y poco amable.,Queja
376,No me gusta que el personal no esté bien capacitado.,Queja
377,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
378,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
379,Tuve un problema con mi compra y nadie me ayudó.,Queja
380,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
381,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
382,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
383,No me gusta que el personal no esté bien capacitado.,Queja
384,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
385,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
386,La página web es muy lenta y difícil de usar.,Queja
387,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
388,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
389,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
390,No me gusta que el personal no esté bien capacitado.,Queja
391,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
392,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
393,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
394,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
395,Tuve un problema con mi compra y nadie me ayudó.,Queja
396,Tuve un problema con mi compra y nadie me ayudó.,Queja
397,El producto llegó defectuoso y tardaron en dar solución.,Queja
398,No me gusta que el personal no esté bien capacitado.,Queja
399,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
400,El servicio al cliente fue muy lento y poco amable.,Queja
401,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
402,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
403,"Me encantó la atención que recibí, fueron muy atentos.",Sugerencia
404,"Los tiempos de espera son excesivos, deberían mejorarlo.",Queja
405,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
406,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
407,Tuve un problema con mi compra y nadie me ayudó.,Queja
408,Tuve un problema con mi compra y nadie me ayudó.,Queja
409,La página web es muy lenta y difícil de usar.,Queja
410,Tuve un problema con mi compra y nadie me ayudó.,Queja
411,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
412,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
413,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
414,No me gusta que el personal no esté bien capacitado.,Queja
415,Tuve un problema con mi compra y nadie me ayudó.,Queja
416,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
417,El servicio al cliente fue muy lento y poco amable.,Queja
418,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
419,El servicio telefónico es ineficiente y no resuelven dudas.,Queja
420,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
421,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
422,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
423,No me gusta que el personal no esté bien capacitado.,Queja
424,Podrían mejorar la experiencia en línea con una mejor interfaz.,Sugerencia
425,Podrían ampliar el horario de atención para mayor comodidad.,Sugerencia
426,El servicio al cliente fue muy lento y poco amable.,Queja
427,No me gusta que el personal no esté bien capacitado.,Queja
428,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
429,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
430,La página web es muy lenta y difícil de usar.,Queja
431,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
432,"El sistema de turnos no funciona bien, deberían optimizarlo.",Queja
433,No me gusta que el personal no esté bien capacitado.,Queja
434,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
435,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
436,La página web es muy lenta y difícil de usar.,Queja
437,Sería genial si agregaran más opciones de pago.,Sugerencia
438,El servicio al cliente fue muy lento y poco amable.,Queja
439,El personal debería recibir más entrenamiento en atención al cliente.,Sugerencia
440,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
441,El producto llegó defectuoso y tardaron en dar solución.,Queja
442,Deberían ofrecer más descuentos para clientes frecuentes.,Sugerencia
443,El servicio al cliente fue muy lento y poco amable.,Queja
444,"La aplicación móvil tiene muchos errores, deberían mejorarla.",Queja
445,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
446,Sería bueno que ampliaran la cobertura del servicio a más ciudades.,Sugerencia
447,El ambiente en la tienda es muy agradable y acogedor.,Sugerencia
448,Sería útil que agregaran un chat en vivo para consultas rápidas.,Sugerencia
449,Me gustaría que ofrecieran más promociones en productos populares.,Sugerencia
